match_id,team1,team2,toss_winner,toss_decision,venue,match_winner,team1_win,team1_strength,team2_strength,strength_diff
335982,1,6,1,field,M Chinnaswamy Stadium,6,0,0.4925925925925926,0.5151515151515151,-0.022558922558922556
1082591,2,1,1,field,"Rajiv Gandhi International Stadium, Uppal",2,1,0.46494464944649444,0.4925925925925926,-0.027647943146098142
1082592,4,3,4,field,Maharashtra Cricket Association Stadium,4,1,0.5,0.5523465703971119,-0.05234657039711188
1082593,5,6,6,field,Saurashtra Cricket Association Stadium,6,0,0.43333333333333335,0.5151515151515151,-0.08181818181818179
1082594,494,4,494,field,Holkar Cricket Stadium,494,1,0.4659090909090909,0.5,-0.034090909090909116
1082595,1,252,1,bat,M.Chinnaswamy Stadium,1,1,0.4925925925925926,0.45692883895131087,0.035663753641281715
1082596,2,5,2,field,"Rajiv Gandhi International Stadium, Uppal",2,1,0.46494464944649444,0.43333333333333335,0.03161131611316109
1082597,3,6,3,field,Wankhede Stadium,3,1,0.5523465703971119,0.5151515151515151,0.03719505524559674
1082598,494,1,1,bat,Holkar Cricket Stadium,494,1,0.4659090909090909,0.4925925925925926,-0.026683501683501698
1082599,4,252,4,field,Maharashtra Cricket Association Stadium,252,0,0.5,0.45692883895131087,0.04307116104868913
1082600,3,2,3,field,Wankhede Stadium,3,1,0.5523465703971119,0.46494464944649444,0.08740192095061744
1082601,6,494,6,field,Eden Gardens,6,1,0.5151515151515151,0.4659090909090909,0.049242424242424254
1082602,1,3,3,field,M Chinnaswamy Stadium,3,0,0.4925925925925926,0.5523465703971119,-0.0597539778045193
1082603,5,4,5,field,Saurashtra Cricket Association Stadium,5,1,0.43333333333333335,0.5,-0.06666666666666665
1082604,6,2,2,field,Eden Gardens,6,1,0.5151515151515151,0.46494464944649444,0.0502068657050207
1082605,252,494,252,bat,Feroz Shah Kotla,252,1,0.45692883895131087,0.4659090909090909,-0.008980251957780017
1082606,3,5,3,field,Wankhede Stadium,3,1,0.5523465703971119,0.43333333333333335,0.11901323706377853
1082607,1,4,1,field,M Chinnaswamy Stadium,4,0,0.4925925925925926,0.5,-0.007407407407407418
1082608,252,6,252,bat,Feroz Shah Kotla,6,0,0.45692883895131087,0.5151515151515151,-0.05822267620020427
1082609,2,494,494,field,"Rajiv Gandhi International Stadium, Uppal",2,1,0.46494464944649444,0.4659090909090909,-0.0009644414625964437
1082610,5,1,5,field,Saurashtra Cricket Association Stadium,1,0,0.43333333333333335,0.4925925925925926,-0.059259259259259234
1082611,2,252,2,bat,"Rajiv Gandhi International Stadium, Uppal",2,1,0.46494464944649444,0.45692883895131087,0.008015810495183573
1082612,494,3,3,field,Holkar Cricket Stadium,3,0,0.4659090909090909,0.5523465703971119,-0.086437479488021
1082613,6,5,5,field,Eden Gardens,5,0,0.5151515151515151,0.43333333333333335,0.08181818181818179
1082614,3,252,252,field,Wankhede Stadium,3,1,0.5523465703971119,0.45692883895131087,0.09541773144580101
1082615,4,2,4,field,Maharashtra Cricket Association Stadium,4,1,0.5,0.46494464944649444,0.03505535055350556
1082616,5,494,5,field,Saurashtra Cricket Association Stadium,494,0,0.43333333333333335,0.4659090909090909,-0.032575757575757536
1082617,6,1,1,field,Eden Gardens,6,1,0.5151515151515151,0.4925925925925926,0.022558922558922556
1082618,3,4,3,field,Wankhede Stadium,4,0,0.5523465703971119,0.5,0.05234657039711188
